time (day)	h (ft)
4.652777789	1.607897
4.656250012	1.607352
4.659722234	1.608654
4.663194456	1.610671
4.666666678	1.606526
4.6701389	1.609873
4.673611123	1.610578
4.677083345	1.610364
4.680555567	1.604489
4.684027789	1.608684
4.687500012	1.605654
4.690972234	1.609324
4.694444456	1.605843
4.697916678	1.607298
4.7013889	1.604484
4.704861123	1.604276
4.708333345	1.606246
4.711805567	1.6024
4.715277789	1.601886
4.718750012	1.601886
4.722222234	1.601991
4.725694456	1.602563
4.729166678	1.598698
4.7326389	1.604871
4.736111123	1.601514
4.739583345	1.598933
4.743055567	1.601002
4.746527789	1.603641
4.750000012	1.60427
4.753472234	1.604509
4.756944456	1.602959
4.760416678	1.601666
4.7638889	1.602339
4.767361123	1.603021
4.770833345	1.60318
4.774305567	1.598295
4.777777789	1.600826
4.781250012	1.603068
4.784722234	1.604082
4.788194456	1.604275
4.791666678	1.605146
4.7951389	1.604394
4.798611123	1.608616
4.802083345	1.60677
4.805555567	1.607578
4.809027789	1.609871
4.812500012	1.610494
4.815972234	1.611076
4.819444456	1.615763
4.822916678	1.611473
4.8263889	1.618084
4.829861123	1.619417
4.833333345	1.618952
4.836805567	1.621187
4.840277789	1.624927
4.843750012	1.625261
4.847222234	1.623497
4.850694456	1.628191
4.854166678	1.625901
4.8576389	1.631045
4.861111123	1.627152
4.864583345	1.632755
4.868055567	1.631798
4.871527789	1.63003
4.875000012	1.631207
4.878472234	1.630935
4.881944456	1.633405
4.885416678	1.6363
4.8888889	1.643469
4.892361123	1.647075
4.895833345	1.647537
4.899305567	1.652598
4.902777789	1.654847
4.906250012	1.657775
4.909722234	1.654399
4.913194456	1.661949
4.916666678	1.661913
4.9201389	1.665263
4.923611123	1.664635
4.927083345	1.66532
4.930555567	1.672109
4.934027789	1.673559
4.937500012	1.674994
4.940972234	1.672055
4.944444456	1.674515
4.947916678	1.678652
4.9513889	1.680007
4.954861123	1.68323
4.958333345	1.685113
4.961805567	1.684816
4.965277789	1.688183
4.968750012	1.69201
4.972222234	1.690724
4.975694456	1.693082
4.979166678	1.692778
4.9826389	1.692223
4.986111123	1.694018
4.989583345	1.698257
4.993055567	1.701258
4.996527789	1.700621
5.000000012	1.704111
5.003472234	1.705483
5.006944456	1.709677
5.010416678	1.711297
5.0138889	1.712235
5.017361123	1.71537
5.020833345	1.718032
5.024305567	1.714456
5.027777789	1.720974
5.031250012	1.724853
5.034722234	1.725724
5.038194456	1.725704
5.041666678	1.727138
5.0451389	1.732314
5.048611123	1.730936
5.052083345	1.732931
5.055555567	1.733665
5.059027789	1.735639
5.062500012	1.736544
5.065972234	1.737034
5.069444456	1.736227
5.072916678	1.74424
5.0763889	1.748453
5.079861123	1.753112
5.083333345	1.748875
5.086805567	1.754221
5.090277789	1.752921
5.093750012	1.755976
5.097222234	1.752168
5.100694456	1.759179
5.104166678	1.756872
5.1076389	1.759871
5.111111123	1.765216
5.114583345	1.76361
5.118055567	1.768974
5.121527789	1.765959
5.125000012	1.771202
5.128472234	1.774646
5.131944456	1.77291
5.135416678	1.777328
5.1388889	1.776505
5.142361123	1.781706
5.145833345	1.785926
5.149305567	1.782925
5.152777789	1.788038
5.156250012	1.785869
5.159722234	1.786336
5.163194456	1.790066
5.166666678	1.790137
5.1701389	1.792475
5.173611123	1.79517
5.177083345	1.796065
5.180555567	1.799309
5.184027789	1.804062
5.187500012	1.803158
5.190972234	1.806349
5.194444456	1.809771
5.197916678	1.803344
5.2013889	1.808367
5.204861123	1.813177
5.208333345	1.812805
5.211805567	1.815788
5.215277789	1.818096
5.218750012	1.819924
5.222222234	1.827266
5.225694456	1.82161
5.229166678	1.825712
5.2326389	1.826305
5.236111123	1.828055
5.239583345	1.833308
5.243055567	1.836567
5.246527789	1.835833
5.250000012	1.84045
5.253472234	1.840471
5.256944456	1.844314
5.260416678	1.847805
5.2638889	1.846381
5.267361123	1.847924
5.270833345	1.851028
5.274305567	1.85696
5.277777789	1.85797
5.281250012	1.8566
5.284722234	1.863504
5.288194456	1.866148
5.291666678	1.866576
5.2951389	1.86742
5.298611123	1.869462
5.302083345	1.872574
5.305555567	1.876752
5.309027789	1.882257
5.312500012	1.888018
5.315972234	1.887156
5.319444456	1.890713
5.322916678	1.895786
5.3263889	1.894469
5.329861123	1.901551
5.333333345	1.907133
5.336805567	1.907613
5.340277789	1.909525
5.343750012	1.912631
5.347222234	1.9188
5.350694456	1.918481
5.354166678	1.922281
5.3576389	1.931797
5.361111123	1.928658
5.364583345	1.932932
5.368055567	1.939408
5.371527789	1.939563
5.375000012	1.947457
5.378472234	1.949119
5.381944456	1.952871
5.385416678	1.954165
5.3888889	1.959731
5.392361123	1.959956
5.395833345	1.96575
5.399305567	1.969527
5.402777789	1.970657
5.406250012	1.973339
5.409722234	1.97721
5.413194456	1.978198
5.416666678	1.980184
5.4201389	1.987642
5.423611123	1.98696
5.427083345	1.983705
5.430555567	1.993043
5.434027789	1.997346
5.437500012	1.995825
5.440972234	1.9976
5.444444456	2.005002
5.447916678	2.006556
5.4513889	2.005533
5.454861123	2.003033
5.458333345	2.012784
5.461805567	2.007609
5.465277789	2.010115
5.468750012	2.015033
5.472222234	2.013507
5.475694456	2.014302
5.479166678	2.014975
5.4826389	2.019265
5.486111123	2.018421
5.489583345	2.02221
5.493055567	2.023222
5.496527789	2.021759
5.500000012	2.025883
5.503472234	2.024781
5.506944456	2.027953
5.510416678	2.026524
5.5138889	2.024583
5.517361123	2.028054
5.520833345	2.02719
5.524305567	2.026002
5.527777789	2.029896
5.531250012	2.032656
5.534722234	2.033916
5.538194456	2.029645
5.541666678	2.029544
5.5451389	2.029832
5.548611123	2.028836
5.552083345	2.030872
5.555555567	2.02962
5.559027789	2.030918
5.562500012	2.035893
5.565972234	2.030963
5.569444456	2.037659
5.572916678	2.031961
5.5763889	2.029421
5.579861123	2.032864
5.583333345	2.029241
5.586805567	2.034632
5.590277789	2.031068
5.593750012	2.027863
5.597222234	2.029382
5.600694456	2.027042
5.604166678	2.03277
5.6076389	2.029832
5.611111123	2.030071
5.614583345	2.028805
5.618055567	2.026246
5.621527789	2.030081
5.625000012	2.029927
5.628472234	2.030526
5.631944456	2.028882
5.635416678	2.026223
5.6388889	2.0272
5.642361123	2.02828
5.645833345	2.027156
5.649305567	2.026212
5.652777789	2.02182
5.656250012	2.020364
5.659722234	2.027765
5.663194456	2.019393
5.666666678	2.021515
5.6701389	2.021515
5.673611123	2.02093
5.677083345	2.01964
5.680555567	2.022088
5.684027789	2.021515
5.687500012	2.018969
5.690972234	2.020769
5.694444456	2.015273
5.697916678	2.020523
5.7013889	2.018324
5.704861123	2.017102
5.708333345	2.015089
5.711805567	2.013422
5.715277789	2.016066
5.718750012	2.011022
5.722222234	2.017403
5.725694456	2.014919
5.729166678	2.015412
5.7326389	2.010903
5.736111123	2.015054
5.739583345	2.014528
5.743055567	2.015388
5.746527789	2.013655
5.750000012	2.008635
5.753472234	2.010462
5.756944456	2.010883
5.760416678	2.01561
5.7638889	2.008121
5.767361123	2.013741
5.770833345	2.011258
5.774305567	2.016062
5.777777789	2.010573
5.781250012	2.013616
5.784722234	2.014313
5.788194456	2.018459
5.791666678	2.016925
5.7951389	2.01709
5.798611123	2.019886
5.802083345	2.018008
5.805555567	2.022158
5.809027789	2.021775
5.812500012	2.025842
5.815972234	2.028096
5.819444456	2.02568
5.822916678	2.029812
5.8263889	2.031424
5.829861123	2.031994
5.833333345	2.033137
